Automatisierter Messplatz

Name Testperson: Testperson
Datum: 12.02.2026 09:20:31
Prüfling: M18TLUT
Bemerkungen: 100;200;300;400;500;Keine
Pfad und Dateiname: C:\Messwerte Temperaturgang\Logfile Tempgang - M18TLUT.txt
Haltezeit / Zusätzliche Erstverweilzeit in min: 20 / 0

	Read Temp[°C]	Set Temp[°C]	Messreihe[-]	Sensor#[-]	Sn[mm]		Voffset,mean	Vdem,mean	VNTC,mean	VLC comp,mean	FW version

	25,000000	25,000000	1,000000	4,000000	8,000000	2100,000000	3282,000000	1708,000000	1182,000000	1.0.00
	25,000000	25,000000	1,000000	5,000000	24,000000	2094,000000	3328,000000	1707,000000	1234,000000	1.0.00
	25,000000	25,000000	1,000000	5,000000	8,800000	2094,000000	3318,000000	1706,000000	1224,000000	1.0.00
	25,000000	25,000000	1,000000	5,000000	8,000000	2094,000000	3312,000000	1706,000000	1218,000000	1.0.00
	30,000000	30,000000	1,000000	1,000000	24,000000	2080,000000	3301,000000	1486,000000	1221,000000	1.0.00
	30,000000	30,000000	1,000000	1,000000	8,800000	2080,000000	3276,000000	1486,000000	1196,000000	1.0.00
	30,000000	30,000000	1,000000	1,000000	8,000000	2080,000000	3264,000000	1486,000000	1184,000000	1.0.00
	30,000000	30,000000	1,000000	2,000000	24,000000	2071,000000	3295,000000	1486,000000	1224,000000	1.0.00
	30,000000	30,000000	1,000000	2,000000	8,800000	2072,000000	3266,000000	1486,000000	1194,000000	1.0.00
	30,000000	30,000000	1,000000	2,000000	8,000000	2071,000000	3253,000000	1486,000000	1182,000000	1.0.00
	30,000000	30,000000	1,000000	3,000000	24,000000	2078,000000	3305,000000	1488,000000	1227,000000	1.0.00
	30,000000	30,000000	1,000000	3,000000	8,800000	2078,000000	3274,000000	1488,000000	1196,000000	1.0.00
	30,000000	30,000000	1,000000	3,000000	8,000000	2078,000000	3261,000000	1488,000000	1183,000000	1.0.00
	30,000000	30,000000	1,000000	4,000000	24,000000	2086,000000	3312,000000	1496,000000	1226,000000	1.0.00
	30,000000	30,000000	1,000000	4,000000	8,800000	2086,000000	3281,000000	1496,000000	1195,000000	1.0.00
	30,000000	30,000000	1,000000	4,000000	8,000000	2086,000000	3267,000000	1496,000000	1181,000000	1.0.00
	30,000000	30,000000	1,000000	5,000000	24,000000	2080,000000	3312,000000	1495,000000	1232,000000	1.0.00
	30,000000	30,000000	1,000000	5,000000	8,800000	2080,000000	3302,000000	1495,000000	1222,000000	1.0.00
	30,000000	30,000000	1,000000	5,000000	8,000000	2080,000000	3296,000000	1494,000000	1217,000000	1.0.00
	35,000000	35,000000	1,000000	1,000000	24,000000	2066,000000	3286,000000	1292,000000	1220,000000	1.0.00
	35,000000	35,000000	1,000000	1,000000	8,800000	2066,000000	3261,000000	1292,000000	1195,000000	1.0.00
	35,000000	35,000000	1,000000	1,000000	8,000000	2066,000000	3250,000000	1291,000000	1184,000000	1.0.00
	35,000000	35,000000	1,000000	2,000000	24,000000	2058,000000	3280,000000	1292,000000	1222,000000	1.0.00
	35,000000	35,000000	1,000000	2,000000	8,800000	2058,000000	3251,000000	1292,000000	1193,000000	1.0.00
	35,000000	35,000000	1,000000	2,000000	8,000000	2058,000000	3238,000000	1292,000000	1180,000000	1.0.00
	35,000000	35,000000	1,000000	3,000000	24,000000	2064,000000	3290,000000	1295,000000	1226,000000	1.0.00
	35,000000	35,000000	1,000000	3,000000	8,800000	2064,000000	3259,000000	1294,000000	1195,000000	1.0.00
	35,000000	35,000000	1,000000	3,000000	8,000000	2064,000000	3246,000000	1294,000000	1182,000000	1.0.00
	35,000000	35,000000	1,000000	4,000000	24,000000	2072,000000	3296,000000	1302,000000	1224,000000	1.0.00
