Unit:(mV)
                     CH1         CH2
Frequency    362.318 kHz           ?
Period          2.760 us           ?
00836            3280.00     3360.00
00837            3280.00     3360.00
00838            3360.00       80.00
00839              80.00       80.00
00840              80.00        0.00
00841               0.00     3280.00
00842            3280.00     3360.00
00843            3360.00     3440.00
00844            3280.00       80.00
00845              80.00       80.00
00846              80.00       80.00
00847              80.00     3440.00
00848            3280.00     3360.00
00849            3360.00     3440.00
00850              80.00        0.00
00851              80.00        0.00
00852              80.00       80.00
00853            3280.00     3440.00
00854            3280.00     3440.00
00855            3440.00     3360.00
00856              80.00       80.00
00857              80.00        0.00
00858              80.00     3360.00
00859              80.00     3360.00
00860              80.00     3360.00
00861              80.00     3360.00
00862              80.00     3360.00
00863              80.00     3360.00
00864              80.00     3360.00
00865            3280.00     3360.00
00866            3280.00     3360.00
00867              80.00       80.00
00868              80.00       80.00
00869              80.00      -80.00
00870            3280.00     3360.00
00871            3360.00     3360.00
00872            3360.00     3440.00
00873              80.00       80.00
00874              80.00        0.00
00875              80.00     3440.00
00876            3280.00     3360.00
00877            3360.00     3360.00
00878            3280.00       80.00
00879              80.00       80.00
00880              80.00        0.00
00881               0.00     3360.00
00882            3280.00     3360.00
00883            3360.00     3360.00
00884            3360.00       80.00
00885              80.00       80.00
00886              80.00       80.00
00887            3280.00     3360.00
00888            3280.00     3360.00
00889            3360.00     3440.00
00890              80.00       80.00
00891               0.00     3360.00
00892              80.00     3360.00
00893              80.00     3360.00
00894              80.00     3440.00
00895              80.00     3360.00
00896              80.00       80.00
00897              80.00     3360.00
00898            3280.00     3360.00
00899            3280.00     3440.00
00900            3280.00        0.00
00901              80.00        0.00
00902              80.00       80.00
00903               0.00     3360.00
00904            3280.00     3360.00
00905            3280.00     3440.00
00906            3440.00        0.00
00907              80.00       80.00
00908              80.00       80.00
00909            3280.00     3360.00
00910            3360.00     3360.00
00911            3360.00     3440.00
00912              80.00       80.00
00913               0.00       80.00
00914              80.00      -80.00
00915            3200.00     3360.00
00916            3280.00     3440.00
00917            3360.00        0.00
00918              80.00       80.00
00919              80.00       80.00
00920               0.00     3360.00
00921            3280.00     3360.00
00922            3360.00     3360.00
00923            3360.00       80.00
00924              80.00       80.00
00925              80.00       80.00
00926             -80.00     3360.00
00927            3280.00     3440.00
00928            3280.00     3360.00
00929              80.00       80.00
00930               0.00        0.00
00931              80.00        0.00
00932            3360.00     3360.00
00933            3280.00     3360.00
00934            3280.00     3440.00
00935              80.00       80.00
00936              80.00       80.00
00937               0.00     3360.00
00938            3280.00     3360.00
00939            3360.00     3360.00
00940            3360.00       80.00
00941              80.00       80.00
00942              80.00       80.00
00943               0.00     3360.00
00944            3280.00     3360.00
00945            3360.00     3360.00
00946            3440.00       80.00
00947              80.00        0.00
00948              80.00     3360.00
00949              80.00     3440.00
00950              80.00     3360.00
00951              80.00     3360.00
00952              80.00     3360.00
00953              80.00     3360.00
00954             160.00     3040.00
00955            3360.00     3360.00
00956            3280.00     3360.00
00957            3280.00        0.00
00958              80.00        0.00
00959              80.00       80.00
00960              80.00     3360.00
00961            3280.00     3360.00
00962            3360.00     3360.00
00963            3280.00        0.00
00964              80.00       80.00
00965              80.00       80.00
00966            3120.00     3360.00
00967            3280.00     3360.00
00968            3280.00     3440.00
00969              80.00       80.00
00970               0.00        0.00
00971              80.00        0.00
00972            3280.00     3360.00
00973            3360.00     3440.00
00974            3200.00      720.00
00975              80.00       80.00
00976              80.00       80.00
00977              80.00     3440.00
00978            3280.00     3440.00
00979            3360.00     3360.00
00980            3280.00        0.00
00981              80.00     3360.00
00982              80.00     3360.00
00983               0.00     3360.00
00984              80.00     3360.00
00985              80.00     3360.00
00986              80.00       80.00
00987              80.00       80.00
00988            3280.00     3360.00
00989            3280.00     3360.00
00990            3280.00     3360.00
00991              80.00       80.00
00992              80.00       80.00
00993              80.00      -80.00
00994            3280.00     3280.00
00995            3280.00     3360.00
00996            3200.00      400.00
00997              80.00       80.00
00998              80.00       80.00
00999              80.00     3440.00
01000            3360.00     3360.00
01001            3360.00     3360.00
01002            3280.00       80.00
01003              80.00       80.00
01004              80.00       80.00
01005              80.00     3280.00
01006            3360.00     3360.00
01007            3280.00     3360.00
01008             240.00       80.00
01009              80.00        0.00
01010              80.00      -80.00
01011            3280.00     3440.00
01012            3280.00     3440.00
01013            3280.00     3360.00
01014              80.00       80.00
01015              80.00       80.00
01016              80.00     3360.00
01017            3280.00     3360.00
01018            3280.00     3360.00
01019            3280.00       80.00
01020              80.00       80.00
01021              80.00        0.00
01022               0.00     3440.00
01023            3360.00     3360.00
01024            3360.00     3440.00
01025            3280.00        0.00
01026              80.00       80.00
01027              80.00       80.00
01028            3280.00     3360.00
01029            3360.00     3440.00
01030            3280.00     3360.00
01031               0.00       80.00
01032              80.00       80.00
01033              80.00      -80.00
01034            3280.00     3360.00
01035            3280.00     3360.00
01036            3280.00      240.00
01037              80.00       80.00
01038              80.00     3360.00
01039              80.00     3360.00
01040              80.00     3360.00
01041              80.00     3360.00
01042              80.00     3360.00
01043              80.00     3360.00
01044             160.00        0.00
01045             880.00     3440.00
01046            3280.00     3360.00
01047            3360.00     3360.00
01048              80.00       80.00
01049               0.00       80.00
01050             160.00       80.00
01051            3280.00     3360.00
01052            3280.00     3440.00
01053            3360.00     3760.00
01054              80.00       80.00
01055              80.00       80.00
01056              80.00     3360.00
01057            3280.00     3440.00
01058            3360.00     3360.00
01059            3280.00       80.00
01060              80.00       80.00
01061              80.00        0.00
01062              80.00     3440.00
01063            3280.00     3360.00
01064            3280.00     3440.00
01065            3280.00      -80.00
01066              80.00        0.00
01067              80.00       80.00
01068            3280.00     3440.00
01069            3360.00     3360.00
01070            3280.00     3440.00
01071              80.00     3360.00
01072              80.00     3360.00
01073              80.00     3360.00
01074              80.00     3360.00
01075              80.00     3280.00
01076              80.00       80.00
01077              80.00        0.00
01078               0.00     3360.00
01079            3360.00     3360.00
01080            3360.00     3360.00
01081            3360.00       80.00
01082              80.00       80.00
01083               0.00        0.00
01084              80.00     3440.00
01085            3280.00     3360.00
01086            3360.00     3360.00
01087            2960.00      -80.00
01088              80.00       80.00
01089              80.00        0.00
01090            3280.00     3360.00
01091            3280.00     3360.00
01092            3280.00     3360.00
01093              80.00       80.00
01094              80.00       80.00
01095             160.00     1840.00
01096            3360.00     3360.00
01097            3280.00     3360.00
01098            3280.00        0.00
01099              80.00       80.00
01100               0.00        0.00
01101               0.00     3360.00
01102            3280.00     3360.00
01103            3360.00     3360.00
01104            3280.00      -80.00
01105              80.00       80.00
01106              80.00        0.00
01107            1600.00     3440.00
01108            3280.00     3360.00
01109            3360.00     3440.00
01110              80.00       80.00
01111              80.00        0.00
01112             160.00        0.00
01113            3280.00     3360.00
01114            3280.00     3360.00
01115            3280.00     2960.00
01116              80.00        0.00
01117              80.00       80.00
01118              80.00     3280.00
01119            3280.00     3360.00
01120            3360.00     3360.00
01121            3280.00       80.00
01122              80.00        0.00
01123               0.00       80.00
01124              80.00     3440.00
01125            3280.00     3360.00
01126            3280.00     3440.00
01127            2240.00     -160.00
01128              80.00     3360.00
01129              80.00     3360.00
01130            3280.00     3360.00
01131            3280.00     3360.00
01132            3280.00     3360.00
01133            3280.00     3360.00
01134              80.00       80.00
01135              80.00     3280.00
01136            3280.00     3360.00
01137            3360.00     3360.00
